job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1375765147801_0007 05:13:46 05:39:01 1515.0 50 1 5368715100 5368709100 6568074 1433241 1 1073570 10208886784 0 10 cp t 1
job_1375765147801_0006 05:13:46 05:25:13 687.0 43 1 5368715100 5368709100 2604908 646152 1 965760 10300882944 0 3 cp t 1
job_1375765147801_0010 05:13:47 05:30:39 1012.0 44 1 5368715100 5368709100 2176664 534261 1 1019090 10180911104 0 4 cp t 1
job_1375765147801_0008 05:13:46 05:39:14 1528.0 47 1 5368715100 5368709100 4347690 1358764 1 1057900 10269179904 0 7 cp t 1
job_1375765147801_0009 05:13:47 05:34:55 1268.0 51 1 5368715100 5368709100 5358927 1012017 1 1054890 10273738752 0 11 cp t 1
job_1375767968375_0006 06:00:33 06:19:56 1163.0 47 1 5368715100 5368709100 2776441 1128048 1 985810 10248536064 0 7 cp t 2
job_1375767968375_0009 06:00:33 06:13:50 797.0 44 1 5368715100 5368709100 3036209 510715 1 1020420 10170925056 0 4 cp t 2
job_1375767968375_0010 06:00:34 06:24:22 1428.0 47 1 5368715100 5368709100 3953445 1057526 1 1073670 10147753984 0 7 cp t 2
job_1375767968375_0007 06:00:33 06:13:30 777.0 47 1 5368715100 5368709100 3605321 698874 1 984130 10295042048 0 7 cp t 2
job_1375767968375_0008 06:00:33 06:24:27 1434.0 43 1 5368715100 5368709100 2083800 1271102 1 1029060 10312572928 0 3 cp t 2
job_1375770681324_0006 06:45:30 07:02:36 1026.0 43 1 5368715100 5368709100 2259456 983362 1 973740 10239451136 0 3 cp t 3
job_1375770681324_0008 06:45:30 07:02:40 1030.0 45 1 5368715100 5368709100 2768329 847278 1 1016030 10278846464 0 5 cp t 3
job_1375770681324_0007 06:45:30 06:58:55 805.0 44 1 5368715100 5368709100 3090166 699146 1 1022360 10191228928 0 4 cp t 3
job_1375770681324_0010 06:45:30 07:03:37 1087.0 44 1 5368715100 5368709100 2854546 739143 1 1071820 10141921280 0 4 cp t 3
job_1375770681324_0009 06:45:30 07:03:23 1073.0 47 1 5368715100 5368709100 3442855 866258 1 1025380 10238652416 0 7 cp t 3
job_1375775292364_0009 08:02:30 08:25:21 1371.0 44 1 5368715100 5368709100 3191724 1097601 1 1086010 10166620160 0 4 cp t 4
job_1375775292364_0010 08:02:30 08:21:18 1128.0 47 1 5368715100 5368709100 3908249 714125 1 1072650 10161405952 0 7 cp t 4
job_1375775292364_0006 08:02:29 08:21:30 1141.0 48 1 5368715100 5368709100 3478882 1073534 1 995080 10279784448 0 8 cp t 4
job_1375775292364_0008 08:02:29 08:22:18 1189.0 41 1 5368715100 5368709100 1898152 990264 1 935400 10294059008 0 1 cp t 4
job_1375775292364_0007 08:02:29 08:24:50 1341.0 50 1 5368715100 5368709100 4908069 1219194 1 1051890 10239148032 0 10 cp t 4
job_1375773029040_0009 07:24:47 07:41:20 993.0 47 1 5368715100 5368709100 3667485 742692 1 1012730 10268229632 0 7 cp t 5
job_1375773029040_0008 07:24:47 07:40:46 959.0 44 1 5368715100 5368709100 3387055 821861 1 1030290 10168324096 0 4 cp t 5
job_1375773029040_0010 07:24:47 07:39:17 870.0 45 1 5368715100 5368709100 2889859 497441 1 1017490 10210471936 0 5 cp t 5
job_1375773029040_0007 07:24:46 07:40:47 961.0 49 1 5368715100 5368709100 3614174 881276 1 1008860 10253709312 0 9 cp t 5
job_1375773029040_0006 07:24:46 07:40:19 933.0 42 1 5368715100 5368709100 1634662 903511 1 896870 10298220544 0 2 cp t 5
job_1375777933615_0007 08:46:26 09:01:05 879.0 40 1 5368715100 5368709100 2023017 794324 1 949220 10348843008 0 0 cp f 1
job_1375777933615_0006 08:46:26 08:59:57 811.0 40 1 5368715100 5368709100 2812595 743437 1 1013170 10217410560 0 0 cp f 1
job_1375777933615_0008 08:46:26 09:03:23 1017.0 40 1 5368715100 5368709100 4070227 848950 1 1057680 10027331584 0 0 cp f 1
job_1375777933615_0010 08:46:26 09:02:25 959.0 40 1 5368715100 5368709100 3177594 591269 1 1052320 10057506816 0 0 cp f 1
job_1375777933615_0009 08:46:26 09:03:45 1039.0 40 1 5368715100 5368709100 2627882 796255 1 1066020 10219724800 0 0 cp f 1
job_1375780237394_0009 09:24:49 09:42:37 1068.0 40 1 5368715100 5368709100 3639746 852049 1 1048290 10169470976 0 0 cp f 2
job_1375780237394_0006 09:24:49 09:41:11 982.0 40 1 5368715100 5368709100 2175864 936020 1 948830 10223730688 0 0 cp f 2
job_1375780237394_0010 09:24:49 09:42:38 1069.0 40 1 5368715100 5368709100 2762947 745931 1 1066060 10098147328 0 0 cp f 2
job_1375780237394_0008 09:24:49 09:36:41 712.0 40 1 5368715100 5368709100 2946903 561220 1 1022810 10204155904 0 0 cp f 2
job_1375780237394_0007 09:24:49 09:42:46 1077.0 40 1 5368715100 5368709100 2714267 997272 1 1032990 10325954560 0 0 cp f 2
job_1375787780979_0008 11:31:18 11:51:20 1202.0 40 1 5368715100 5368709100 2310863 1072862 1 1102340 10179153920 1 0 cp f 3
job_1375787780979_0006 11:31:04 11:48:38 1054.0 40 1 5368715100 5368709100 2113592 1007265 1 959980 10312777728 0 0 cp f 3
